Header
rate=30
frames=10
duration=0.3
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.066000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.132000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.165000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.198000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.231000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.264000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.297000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.330000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
