Header
rate=30
frames=107
duration=3.5
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0.000000,0,0,-4,0,-20,51,-14,-36,-30,36,35,-50,9,-46,17,0
0.033000,1,0,-3,0,-22,49,-12,-35,-30,38,35,-50,7,-45,17,0
0.066000,2,0,-2,0,-24,47,-10,-37,-30,40,34,-50,5,-44,16,0
0.099000,3,0,-1,0,-24,45,-8,-39,-30,42,33,-51,3,-42,14,0
0.132000,4,0,0,0,-24,43,-6,-41,-29,44,33,-51,1,-42,14,0
0.165000,5,0,0,0,-26,41,-4,-43,-27,46,32,-51,-1,-37,10,0
0.198000,6,0,0,0,-26,39,-2,-45,-26,48,32,-51,-3,-37,10,0
0.231000,7,0,0,0,-28,34,3,-49,-22,52,31,-51,-8,-28,4,0
0.264000,8,0,0,0,-28,34,3,-49,-22,52,31,-51,-8,-28,4,0
0.297000,9,0,0,0,-30,29,8,-53,-18,56,28,-52,-13,-18,-6,0
0.330000,10,0,0,0,-30,29,8,-53,-18,56,28,-52,-13,-18,-6,0
0.363000,11,0,0,0,-30,25,13,-57,-14,60,27,-52,-15,-8,-11,0
0.396000,12,0,0,0,-30,25,13,-57,-14,60,27,-52,-15,-8,-11,0
0.429000,13,0,0,0,-30,25,15,-59,-12,62,27,-52,-15,-3,-11,0
0.462000,14,0,0,0,-30,25,17,-61,-10,64,25,-51,-15,2,-13,0
0.495000,15,0,0,0,-30,25,19,-63,-8,66,25,-51,-15,7,-13,0
0.528000,16,0,0,0,-30,25,21,-65,-6,64,23,-49,-15,12,-11,0
0.561000,17,0,0,0,-30,25,23,-65,-4,62,23,-49,-15,17,-11,0
0.594000,18,0,0,0,-30,25,25,-63,-2,60,21,-47,-15,22,-7,0
0.627000,19,0,0,0,-30,25,27,-61,0,58,20,-46,-15,27,-7,0
0.660000,20,0,0,0,-30,25,29,-59,2,56,18,-44,-15,32,-3,0
0.693000,21,0,0,0,-30,25,31,-58,4,55,18,-43,-15,37,-3,0
0.726000,22,0,0,0,-30,25,32,-56,6,53,17,-41,-15,42,-1,0
0.759000,23,0,0,0,-30,25,33,-54,4,51,16,-41,-15,43,0,0
0.792000,24,0,0,0,-30,25,34,-52,2,50,17,-43,-15,42,3,0
0.825000,25,0,0,0,-30,26,36,-50,0,48,18,-45,-15,40,6,0
0.858000,26,0,0,0,-29,30,34,-46,-4,50,22,-49,-15,35,9,0
0.891000,27,0,0,0,-27,34,31,-42,-8,52,26,-53,-15,30,12,0
0.924000,28,0,0,0,-27,34,31,-42,-8,52,26,-53,-15,30,12,0
0.957000,29,0,0,0,-27,34,31,-42,-8,52,26,-55,-15,28,12,0
0.990000,30,0,0,0,-26,39,26,-38,-13,52,31,-57,-15,18,12,0
1.023000,31,0,0,0,-26,39,26,-38,-13,52,31,-57,-15,18,12,0
