Header
rate=30
frames=99
duration=3.3
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0.000000,0,0,-4,0,-20,51,-14,-36,-30,36,35,-50,9,-46,17,0
0.033000,1,0,-3,0,-22,51,-12,-38,-30,38,35,-50,7,-46,17,0
0.066000,2,0,-2,0,-23,52,-10,-40,-30,40,34,-50,5,-45,16,0
0.099000,3,0,-1,0,-23,52,-8,-42,-30,42,34,-51,6,-43,15,0
0.132000,4,0,0,0,-24,52,-6,-44,-30,44,33,-51,8,-42,14,0
0.165000,5,0,0,0,-25,52,-4,-46,-28,46,33,-51,10,-39,12,0
0.198000,6,0,0,0,-26,52,-2,-48,-26,48,32,-51,12,-37,10,0
0.231000,7,0,0,0,-27,52,0,-50,-24,50,32,-52,14,-33,8,0
0.264000,8,0,0,0,-28,51,2,-52,-22,52,31,-52,15,-28,4,0
0.297000,9,0,0,0,-30,50,4,-54,-20,54,30,-52,15,-23,0,0
0.330000,10,0,0,0,-30,49,6,-56,-18,56,29,-52,15,-18,-4,0
0.363000,11,0,0,0,-30,47,8,-58,-18,58,28,-52,15,-13,-8,0
0.396000,12,0,0,0,-30,45,13,-63,-17,63,27,-52,15,-3,-11,0
0.429000,13,0,0,0,-30,45,13,-63,-17,63,27,-52,15,-3,-11,0
0.462000,14,0,0,0,-30,43,15,-65,-16,65,26,-52,15,2,-13,0
0.495000,15,0,0,0,-30,41,17,-67,-16,67,25,-51,15,7,-13,0
0.528000,16,0,0,0,-30,36,22,-67,-15,64,23,-49,15,17,-11,0
0.561000,17,0,0,0,-30,36,22,-67,-15,64,23,-49,15,17,-11,0
0.594000,18,0,0,0,-30,31,27,-62,-14,59,21,-47,15,27,-7,0
0.627000,19,0,0,0,-30,31,27,-62,-14,59,21,-47,15,27,-7,0
0.660000,20,0,0,0,-30,29,29,-60,-13,57,19,-45,15,32,-5,0
0.693000,21,0,0,0,-30,27,31,-58,-13,55,18,-43,15,37,-3,0
0.726000,22,0,0,0,-30,25,33,-56,-13,53,17,-41,15,42,-1,0
0.759000,23,0,0,0,-30,23,35,-54,-14,51,16,-39,15,43,0,0
0.792000,24,0,0,0,-30,24,37,-52,-14,49,16,-41,15,42,2,0
0.825000,25,0,0,0,-30,26,36,-50,-15,48,18,-43,15,40,6,0
0.858000,26,0,0,0,-30,28,35,-48,-16,49,20,-45,15,38,7,0
