Header
rate=30
frames=91
duration=3.0
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0.000000,0,0,-4,0,-20,51,-14,-36,-30,36,35,-50,9,-46,17,0
0.033000,1,0,-3,0,-22,49,-12,-38,-29,38,33,-48,11,-41,17,0
0.066000,2,0,-2,0,-24,47,-10,-40,-27,40,31,-46,13,-36,16,0
0.099000,3,0,0,0,-29,44,-5,-45,-24,43,26,-41,15,-26,14,0
0.132000,4,0,0,0,-29,44,-5,-45,-24,43,26,-41,15,-26,14,0
0.165000,5,0,0,0,-27,46,-3,-47,-26,41,24,-43,15,-21,10,0
0.198000,6,0,0,0,-25,48,-1,-49,-26,39,22,-45,15,-16,9,0
0.231000,7,0,0,0,-23,50,1,-51,-28,37,22,-47,15,-11,4,0
0.264000,8,0,0,0,-21,52,3,-53,-28,35,22,-49,15,-6,1,0
0.297000,9,0,0,0,-19,54,5,-55,-30,33,22,-51,15,-1,-4,0
0.330000,10,0,0,0,-17,56,7,-57,-30,31,22,-53,15,4,-6,0
0.363000,11,0,0,0,-15,58,9,-59,-30,29,22,-55,15,8,-11,0
0.396000,12,0,0,0,-14,60,11,-61,-30,27,22,-57,15,8,-11,0
0.429000,13,0,0,0,-12,62,13,-63,-30,27,22,-59,15,3,-11,0
0.462000,14,0,0,0,-10,64,15,-65,-30,26,22,-61,15,-2,-12,0
0.495000,15,0,0,0,-8,66,17,-67,-30,25,22,-63,15,-7,-13,0
0.528000,16,0,0,0,-6,64,19,-69,-30,25,21,-64,15,-12,-12,0
0.561000,17,0,0,0,-4,62,21,-69,-30,25,21,-65,15,-17,-11,0
0.594000,18,0,0,0,-2,60,21,-68,-30,25,21,-63,15,-22,-7,0
0.627000,19,0,0,0,0,58,22,-68,-30,25,21,-61,15,-27,-7,0
0.660000,20,0,0,0,2,56,23,-68,-30,25,21,-59,15,-32,-3,0
0.693000,21,0,0,0,4,55,24,-68,-30,26,22,-58,15,-37,-2,0
0.726000,22,0,0,0,6,53,25,-67,-30,26,22,-56,15,-42,-1,0
0.759000,23,0,0,0,4,52,26,-67,-30,26,22,-54,15,-42,1,0
0.792000,24,0,0,0,-1,48,29,-67,-30,28,22,-49,15,-40,6,0
0.825000,25,0,0,0,-1,48,29,-67,-30,28,22,-49,15,-40,6,0
0.858000,26,0,0,0,-6,52,31,-65,-27,33,22,-44,15,-30,12,0
0.891000,27,0,0,0,-6,52,31,-65,-27,33,22,-44,15,-30,12,0
0.924000,28,0,0,0,-10,52,33,-60,-27,36,22,-41,15,-25,12,0
0.957000,29,0,0,0,-10,52,33,-60,-27,36,22,-41,15,-25,12,0
