Header
rate=30
frames=96
duration=3.2
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0.000000,0,0,-4,0,-20,51,-14,-36,-30,36,35,-50,9,-46,17,0
0.033000,1,0,-3,0,-22,51,-12,-38,-30,38,35,-50,9,-46,17,0
0.066000,2,0,-2,0,-23,52,-10,-40,-30,40,34,-50,8,-45,16,0
0.099000,3,0,-1,0,-23,52,-8,-42,-30,42,34,-51,7,-43,15,0
0.132000,4,0,0,0,-24,52,-6,-44,-30,44,33,-51,7,-42,14,0
0.165000,5,0,0,0,-25,52,-4,-46,-28,46,33,-51,6,-39,12,0
0.198000,6,0,0,0,-26,52,-2,-48,-26,48,32,-51,5,-37,10,0
0.231000,7,0,0,0,-27,52,0,-50,-24,50,32,-52,5,-33,8,0
0.264000,8,0,0,0,-28,51,2,-52,-22,52,31,-52,4,-28,4,0
0.297000,9,0,0,0,-30,50,4,-54,-20,54,30,-52,3,-23,0,0
0.330000,10,0,0,0,-30,47,9,-59,-15,59,28,-52,2,-13,-8,0
0.363000,11,0,0,0,-30,47,9,-59,-15,59,28,-52,2,-13,-8,0
0.396000,12,0,0,0,-30,45,14,-64,-10,64,27,-52,0,-3,-11,0
0.429000,13,0,0,0,-30,45,14,-64,-10,64,27,-52,0,-3,-11,0
0.462000,14,0,0,0,-30,43,16,-66,-8,66,26,-52,-1,2,-13,0
0.495000,15,0,0,0,-30,41,18,-68,-6,68,25,-51,-2,7,-13,0
0.528000,16,0,0,0,-30,36,23,-67,-1,64,23,-49,-3,17,-11,0
0.561000,17,0,0,0,-30,36,23,-67,-1,64,23,-49,-3,17,-11,0
0.594000,18,0,0,0,-30,31,28,-62,4,59,21,-47,-5,27,-7,0
0.627000,19,0,0,0,-30,31,28,-62,4,59,21,-47,-5,27,-7,0
0.660000,20,0,0,0,-30,29,30,-60,6,57,19,-45,-5,32,-5,0
0.693000,21,0,0,0,-30,27,32,-58,7,55,18,-43,-6,37,-3,0
0.726000,22,0,0,0,-30,25,34,-56,6,53,17,-41,-7,42,-1,0
0.759000,23,0,0,0,-30,23,36,-54,4,51,16,-39,-7,43,0,0
0.792000,24,0,0,0,-30,24,38,-52,2,49,16,-41,-8,42,2,0
0.825000,25,0,0,0,-30,26,36,-50,0,48,18,-43,-9,40,6,0
0.858000,26,0,0,0,-30,28,35,-48,-2,49,20,-45,-9,38,7,0
0.891000,27,0,0,0,-30,30,34,-46,-4,50,22,-47,-10,36,9,0
0.924000,28,0,0,0,-29,32,32,-44,-6,51,24,-49,-11,33,11,0
0.957000,29,0,0,0,-27,34,31,-42,-8,52,26,-51,-12,30,12,0
0.990000,30,0,0,0,-25,36,29,-40,-10,53,28,-53,-12,25,13,0
1.023000,31,0,0,0,-23,38,27,-38,-12,53,30,-55,-11,20,13,0
1.056000,32,0,0,0,-21,40,25,-37,-14,53,32,-57,-9,15,13,0
1.089000,33,0,0,0,-19,42,23,-36,-16,53,34,-59,-8,10,13,0
1.122000,34,0,0,0,-17,44,21,-36,-18,53,36,-61,-7,6,12,0
1.155000,35,0,0,0,-15,46,19,-36,-20,53,38,-63,-5,1,11,0
1.188000,36,0,0,0,-13,48,17,-36,-22,53,40,-65,-4,-4,8,0
1.221000,37,0,0,0,-11,50,15,-38,-24,52,42,-67,-3,-9,5,0
1.254000,38,0,0,0,-9,52,13,-39,-26,52,44,-69,-1,-14,1,0
1.287000,39,0,0,0,-7,54,11,-40,-28,51,45,-71,0,-19,-1,0
1.320000,40,0,0,0,-5,54,9,-40,-29,50,45,-73,1,-24,-3,0
1.353000,41,0,0,0,-3,54,7,-40,-30,49,45,-75,3,-29,-6,0
1.386000,42,0,0,0,-1,52,5,-39,-30,47,45,-76,4,-31,-8,0
1.419000,43,0,0,0,-2,47,0,-36,-30,43,45,-71,5,-36,-10,0
1.452000,44,0,0,0,-2,47,0,-36,-30,43,45,-71,5,-36,-10,0
1.485000,45,0,0,0,-4,45,-2,-35,-30,43,45,-69,6,-38,-10,0
1.518000,46,0,0,0,-6,44,-4,-37,-30,45,44,-67,5,-41,-10,0
1.551000,47,0,0,0,-8,46,-2,-39,-30,47,42,-65,5,-40,-8,0
1.584000,48,0,0,0,-10,47,0,-41,-30,49,40,-63,5,-40,-7,0
1.617000,49,0,0,0,-12,48,2,-43,-30,51,38,-61,5,-39,-6,0
1.650000,50,0,0,0,-14,50,4,-45,-28,53,36,-62,4,-34,-2,0
1.683000,51,0,0,0,-16,51,6,-47,-26,55,34,-62,3,-29,0,0
1.716000,52,0,0,0,-18,51,8,-49,-24,57,32,-63,2,-24,3,0
1.749000,53,0,0,0,-23,51,13,-54,-19,62,30,-63,1,-14,7,0
1.782000,54,0,0,0,-23,51,13,-54,-19,62,30,-63,1,-14,7,0
1.815000,55,0,0,0,-25,51,15,-56,-17,64,28,-63,0,-9,11,0
